mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-6.623547,-13.289168,-16.40644,-20.283764,-22.236233,-24.02623,-26.463306,-25.931278,-27.189665,-28.33072,-30.94906,-33.62972,-37.75849,0.05888586040522854,2.3780380249023437e-05,0.048545431665058605,3.9139160156249996e-05,0.7941397027171231,0.00012261352539062498
-4.339457,-11.846241,-15.2300825,-18.27205,-20.093653,-22.834044,-25.060093,-24.393747,-25.758589,-28.401512,-31.312557,-32.92676,-36.638386,0.05920230848605589,3.312597656249999e-05,0.04862975329233573,2.2822250366210937e-05,0.7939985327719097,0.00010311875915527346
-3.1043448,-11.84757,-15.377153,-18.471539,-20.25673,-24.33861,-25.85038,-25.519459,-26.95227,-29.721455,-31.508358,-33.27961,-37.192696,0.058993040547235844,2.723924255371094e-05,0.04774389992940198,2.6939392089843758e-05,0.7947818039215081,0.00010643296813964845
-1.8869727,-11.686352,-15.143697,-18.105288,-20.064983,-24.646729,-25.497463,-25.284515,-26.897264,-29.238663,-31.288887,-33.088547,-37.17447,0.05896587561721345,1.6685775756835943e-05,0.04876996536275554,2.550164794921874e-05,0.7945460951476969,0.00014772949218749997
-2.255412,-12.029778,-15.344643,-17.287764,-19.105337,-24.666246,-25.244606,-25.547132,-27.414259,-29.847286,-31.511513,-33.468422,-37.79624,0.05845086745506862,1.7978271484375006e-05,0.04870327789116201,2.8844238281249997e-05,0.7942822115390618,0.00015665098571777342
-3.039242,-13.299323,-16.09397,-18.698992,-20.704628,-25.32094,-25.565115,-25.752249,-27.90283,-30.607994,-32.04487,-34.260025,-38.335815,0.05907045663998417,2.8570556640624994e-05,0.04787475522130635,2.3851562500000008e-05,0.7946601131518873,0.00013650633239746095
-2.2055614,-12.053911,-14.237749,-16.296787,-17.684658,-22.265745,-22.790613,-24.238789,-26.3283,-28.45779,-29.652935,-32.276817,-36.757526,0.05921248833155099,4.3072128295898445e-05,0.048731623389376866,3.9541000366210934e-05,0.7957565968318246,0.00011618003845214846
-2.3582532,-11.878019,-14.457344,-16.485672,-17.198181,-22.265202,-22.47314,-24.812971,-27.32573,-28.151764,-29.225388,-32.170105,-36.805763,0.05945692333464518,2.548895263671875e-05,0.0494701540585647,8.822088623046875e-05,0.7927390369245496,0.00011886468505859376
-4.0994396,-10.045212,-13.35994,-15.706777,-16.205055,-20.837238,-22.073586,-23.602749,-26.47949,-27.69455,-28.408514,-31.341576,-35.724113,0.05941854386041606,3.3411849975585936e-05,0.049831411335261845,0.00014038267517089842,0.7953797245655687,5.7225585937500005e-05
-2.6004713,-6.18922,-8.707249,-10.162335,-11.936245,-16.873928,-17.851507,-21.025692,-23.125755,-23.638096,-24.00142,-27.183067,-31.34829,0.05918697098331429,3.3611434936523436e-05,0.05037033263892795,0.00013617041015625,0.7943916670808796,6.992173767089844e-05
-3.1352324,-7.376446,-5.914564,-5.547844,-6.3926945,-12.056515,-12.824623,-19.55429,-21.30024,-18.571098,-18.781553,-23.762909,-28.13241,0.058897390331750905,1.8257995605468746e-05,0.048805150845207285,0.00013199693298339844,0.7925057626990057,2.7707992553710934e-05
-1.522305,-6.208743,-6.3670416,-10.562565,-11.168888,-13.964511,-14.348097,-15.42945,-17.985952,-21.139036,-21.717907,-25.21491,-29.189285,0.06010981365189569,7.015008544921874e-05,0.04974099788019122,0.00015175523376464845,0.7934747077357956,0.00013342797851562498
-1.5117718,-10.006712,-11.629009,-14.105207,-15.018361,-17.920137,-18.128056,-20.003448,-22.26164,-25.048649,-25.039022,-28.363922,-32.651863,0.05911887087516716,4.1183090209960936e-05,0.04850455288311217,0.000114218994140625,0.7958661467759415,8.538842773437502e-05
-1.3334997,-9.798588,-12.275387,-14.564741,-15.8196535,-18.758438,-18.547222,-21.2173,-23.962387,-25.43172,-25.690678,-29.21592,-33.66033,0.05969358403220044,5.368719482421874e-05,0.04912037539857442,8.399481201171874e-05,0.7931722529819047,7.495727539062497e-05
-1.3307575,-9.30677,-11.698825,-14.123968,-16.444668,-18.53746,-17.53394,-20.128279,-22.588154,-24.84501,-24.588322,-28.341612,-32.56086,0.05957844462935505,5.105340576171877e-05,0.04939792535417733,5.291650390625e-05,0.79277145983216,0.00013930772399902338
-1.1968596,-9.691839,-12.343418,-14.256338,-16.045975,-18.4874,-17.845665,-22.096031,-24.856928,-24.03701,-24.896568,-28.586094,-33.26002,0.05932165058002906,6.060752868652343e-05,0.04831653873198144,6.523094177246096e-05,0.7940577881968627,0.00015380072021484376
-1.0602665,-9.747237,-12.878202,-12.51396,-15.665348,-18.38778,-16.810835,-21.458578,-24.632874,-24.453684,-23.922724,-27.84162,-32.058937,0.06001123958853979,5.086492919921875e-05,0.048844997085007336,7.132177734375e-05,0.7943982938627148,0.0002045610198974609
-1.2782861,-9.77198,-13.341648,-13.213743,-15.567317,-19.021805,-17.580347,-21.374191,-24.508179,-24.341854,-23.07637,-27.867392,-32.056698,0.059596369813285394,5.5961669921874995e-05,0.04853930204250405,8.680686950683594e-05,0.7942771014523845,0.00017335130310058592
-1.5259237,-11.011932,-14.624248,-13.437356,-15.81293,-19.01191,-16.904537,-22.25447,-25.132496,-25.523994,-24.619915,-28.543114,-32.640312,0.059259241598621136,6.376611328125e-05,0.04862347739221186,8.380699157714842e-05,0.7939446830793938,0.00015405845642089844
