X,Y,Z
1.0390625,-0.01171875,-0.33984375
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
0.98828125,0.0078125,-0.3203125
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.05859375,-0.0390625,-0.015625
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.02734375,0.015625,-0.375
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.10546875,0.01953125,-0.3046875
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.01953125,0.05859375,-0.578125
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
1.03515625,-0.08203125,-0.12109375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
0.9765625,-0.01171875,0.0859375
1.03125,-0.02734375,-0.09375
1.03125,-0.02734375,-0.09375
1.0703125,0.01953125,-0.43359375
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.05859375,0.01953125,-0.28125
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.0546875,0.0234375,-0.56640625
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
1.03125,-0.046875,0.046875
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
0.9765625,-0.00390625,-0.0234375
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.04296875,-0.00390625,0.04296875
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
1.00390625,0.01171875,-0.64453125
